wshedDel,basinChar,total
39.9668450356,38.7648839951,78.7317290306
27.3444788456,27.8540661335,55.1985449791
27.4285440445,27.4670908451,54.8956348896
27.7956600189,29.3337550163,57.1294150352
29.2300360203,24.9732189178,54.2032549381
28.1918411255,28.0668680668,56.2587091923
27.8122000694,24.0861928463,51.8983929157
29.8215920925,29.4375059605,59.259098053
28.140004158,27.4762539864,55.6162581444
27.7188558578,27.3672010899,55.0860569477
27.5352611542,28.4963359833,56.0315971375
27.163132906,29.3548300266,56.5179629326
27.445939064,28.5571680069,56.0031070709
27.3306601048,27.5642719269,54.8949320316
27.0239329338,28.4465880394,55.4705209732
28.0926959515,30.3738360405,58.466531992
30.5395181179,26.6519360542,57.1914541721
29.234333992,30.6167209148,59.8510549068
28.159457922,27.5040171146,55.6634750366
29.1692290306,31.6756629944,60.844892025
28.1192090511,29.07020998,57.1894190311
32.2689609528,29.248675108,61.5176360607
28.9871017933,27.0944640636,56.0815658569
27.53292799,30.262032032,57.794960022
30.3807229996,30.4216051102,60.8023281097
