wshedDel,basinChar,total
41.5153129101,41.444136858,82.9594497681
53.7053728104,33.2961401939,87.0015130043
42.434748888,31.8136200905,74.2483689785
45.9443950653,33.6536290646,79.5980241299
41.2998161316,33.2974867821,74.5973029137
41.4023878574,35.0741479397,76.4765357971
46.798596859,35.1497340202,81.9483308792
43.5576329231,32.0810620785,75.6386950016
43.7356948853,33.0919110775,76.8276059628
42.9615058899,37.5048010349,80.4663069248
45.4137737751,34.7382910252,80.1520648003
43.1014308929,35.644010067,78.7454409599
49.8149340153,32.9028480053,82.7177820206
42.7487530708,34.1601340771,76.9088871479
47.8042769432,32.9228401184,80.7271170616
44.425508976,33.8479590416,78.2734680176
41.2579371929,35.625841856,76.8837790489
44.0611999035,34.2610919476,78.322291851
38.9936029911,35.9801468849,74.973749876
38.4726641178,36.2107439041,74.6834080219
42.2512130737,32.0918550491,74.3430681229
47.5897209644,36.1958050728,83.7855260372
45.1471838951,33.4448120594,78.5919959545
42.7680151463,40.19835186,82.9663670063
