wshedDel,basinChar,total
29.1393780708,24.7775099277,53.9168879986
28.3795230389,27.2049729824,55.5844960213
27.8104660511,27.3003969193,55.1108629704
27.6097521782,30.1254169941,57.7351691723
29.4580700397,28.2565910816,57.7146611214
28.2704570293,27.7376139164,56.0080709457
27.027864933,25.9962182045,53.0240831375
29.8928809166,27.9089078903,57.8017888069
27.7632381916,34.0180258751,61.7812640667
27.8952350616,24.8059859276,52.7012209892
28.8655581474,26.9756669998,55.8412251472
29.6724328995,27.0168058872,56.6892387867
29.0016839504,27.2343211174,56.2360050678
28.2881379128,27.6159241199,55.9040620327
28.0665030479,28.5687999725,56.6353030205
29.8951399326,30.2323100567,60.1274499893
27.7832598686,24.7574760914,52.54073596
31.3820099831,28.1957600117,59.5777699947
26.8766489029,29.4490981102,56.3257470131
32.2369849682,28.5648338795,60.8018188477
29.6696500778,31.9321420193,61.6017920971
31.6741120815,28.490144968,60.1642570496
27.1858839989,27.4246628284,54.6105468273
30.9369812012,30.4700717926,61.4070529938
30.3387358189,29.4712941647,59.8100299835
